CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
4,12.75,12.75,1,12.47,12.47,2,12.62,12.62,3,12.73,12.73
1,9.29,22.04,2,9.64,22.11,3,9.58,22.20,4,9.58,22.31
1,9.34,31.38,2,9.45,31.56,3,9.47,31.67,4,9.44,31.75
1,9.58,40.96,3,9.61,41.17,2,9.39,41.06,4,9.51,41.26
1,9.45,50.41,3,9.46,50.63,2,9.47,50.53,4,9.48,50.74
1,9.48,59.89,3,9.43,1:00.06,2,9.44,59.97,4,9.43,1:00.17
1,9.51,1:09.40,2,9.35,1:09.41,3,9.47,1:09.44,4,9.39,1:09.56
4,9.57,1:18.97,1,9.12,1:18.53,2,9.33,1:18.77,3,9.39,1:18.95
4,10.03,1:28.999,1,9.37,1:27.898,3,9.53,1:28.292,2,9.34,1:28.287
