Aydin DJEMAL POSITION,Aydin DJEMAL LAP TIME,Aydin DJEMAL ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
2,7.11,7.11,4,7.52,7.52,3,7.30,7.30,1,7.07,7.07
3,9.25,16.36,4,9.24,16.76,2,8.98,16.28,1,8.99,16.06
3,8.62,24.98,4,8.70,25.46,2,8.38,24.66,1,8.35,24.41
3,8.79,33.77,4,8.78,34.24,2,8.50,33.16,1,8.40,32.81
3,9.17,42.94,4,9.00,43.24,2,8.87,42.03,1,8.64,41.45
