Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,Jake POWERS POSITION,Jake POWERS LAP TIME,Jake POWERS ELAPSED TIME,Paul BEAUCHAMP POSITION,Paul BEAUCHAMP LAP TIME,Paul BEAUCHAMP ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME
1,13.45,13.45,3,13.62,13.62,2,13.52,13.52,4,13.66,13.66
3,10.46,23.91,4,10.40,24.02,1,10.16,23.68,2,10.11,23.77
3,9.79,33.70,4,9.77,33.79,1,9.83,33.51,2,9.83,33.60
3,9.62,43.32,4,9.63,43.42,1,9.60,43.11,2,9.61,43.21
3,9.24,52.56,4,9.24,52.66,1,9.25,52.36,2,9.24,52.45
4,9.43,1:01.99,3,9.18,1:01.84,1,9.27,1:01.63,2,9.31,1:01.76
3,9.21,1:11.20,2,9.29,1:11.13,1,9.36,1:10.99,4,9.60,1:11.36
1,9.21,1:20.41,3,9.71,1:20.84,2,9.67,1:20.66,4,9.81,1:21.17
1,9.22,1:29.624,3,9.95,1:30.786,2,10.02,1:30.673,4,9.95,1:31.118
