Pietro MARINELLI POSITION,Pietro MARINELLI LAP TIME,Pietro MARINELLI ELAPSED TIME,Georgi ORLOV POSITION,Georgi ORLOV LAP TIME,Georgi ORLOV ELAPSED TIME,Benjamin THORNOCK POSITION,Benjamin THORNOCK LAP TIME,Benjamin THORNOCK ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME
2,13.52,13.52,4,13.65,13.65,1,13.48,13.48,3,13.59,,5,13.66,13.66
3,10.36,23.88,4,10.28,23.93,2,10.29,23.77,5,10.38,,1,10.01,23.67
4,9.93,33.81,2,9.69,33.62,3,9.93,33.70,5,9.96,,1,9.93,33.60
4,9.41,43.22,1,9.09,42.71,3,9.41,43.11,5,9.39,,2,9.34,42.94
4,9.19,52.41,1,9.42,52.13,3,9.17,52.28,5,9.21,,2,9.22,52.16
4,24.57,1:16.98,3,20.54,1:12.67,2,9.41,1:01.69,5,26.36,,1,9.49,1:01.65
4,28.04,1:45.02,3,12.97,1:25.64,2,9.76,1:11.45,5,27.46,,1,9.32,1:10.97
4,12.25,1:57.27,3,13.87,1:39.51,2,10.32,1:21.77,5,12.32,,1,9.47,1:20.44
4,10.83,2:08.10,3,14.66,1:54.17,2,10.71,1:32.48,5,11.33,,1,9.63,1:30.07
