Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME
2,8.43,8.43,4,8.65,8.65,1,8.31,8.31,5,8.83,8.83,6,9.04,9.04,3,8.52,8.52
2,13.05,21.48,3,12.90,21.55,1,13.00,21.31,4,12.77,21.60,6,12.77,21.81,5,13.16,21.68
2,11.46,32.94,4,11.56,33.11,1,11.52,32.83,3,11.44,33.04,6,11.49,33.30,5,11.53,33.21
2,11.83,44.77,3,11.68,44.79,1,11.79,44.62,4,11.84,44.88,6,11.70,45.00,5,11.69,44.90
4,10.52,55.29,3,10.36,55.15,2,10.43,55.05,5,10.52,55.40,6,10.58,55.58,1,10.05,54.95
4,10.89,1:06.18,3,10.93,1:06.08,2,10.93,1:05.98,5,10.87,1:06.27,6,10.72,1:06.30,1,10.92,1:05.87
5,10.51,1:16.69,2,10.32,1:16.40,1,10.40,1:16.38,6,10.55,1:16.82,3,10.13,1:16.43,4,10.57,1:16.44
5,9.39,1:26.08,2,9.34,1:25.74,3,9.45,1:25.83,6,9.40,1:26.22,1,9.21,1:25.64,4,9.46,1:25.90
5,9.40,1:35.48,2,9.40,1:35.14,3,9.39,1:35.22,6,9.36,1:35.58,1,9.38,1:35.02,4,9.41,1:35.31
5,9.05,1:44.53,2,9.09,1:44.23,3,9.10,1:44.32,6,9.09,1:44.67,1,9.11,1:44.13,4,9.09,1:44.40
5,9.11,1:53.64,2,9.11,1:53.34,3,9.10,1:53.42,6,9.08,1:53.75,1,9.01,1:53.14,4,9.12,1:53.52
5,8.95,2:02.59,3,9.09,2:02.43,2,8.90,2:02.32,6,9.00,2:02.75,1,8.92,2:02.06,4,8.95,2:02.47
4,9.05,2:11.64,3,9.18,2:11.61,2,9.06,2:11.38,6,9.16,2:11.91,1,9.09,2:11.15,5,9.25,2:11.72
3,8.98,2:20.619,4,9.39,2:20.991,2,9.18,2:20.556,6,9.57,2:21.473,1,9.41,2:20.552,5,9.45,2:21.167
