Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME
1,13.52,13.52,2,13.63,,3,13.72,13.72,4,13.74,13.74,5,13.92,13.92
3,10.07,23.59,2,9.85,,1,9.68,23.40,4,9.99,23.73,5,9.90,23.82
3,9.99,33.58,2,9.91,,1,9.93,33.33,5,9.97,33.70,4,9.77,33.59
3,9.66,43.24,2,9.79,,1,9.78,43.11,5,9.81,43.51,4,9.82,43.41
2,9.16,52.40,3,9.23,,1,9.13,52.24,5,9.19,52.70,4,9.11,52.52
2,9.04,1:01.44,3,9.10,,1,9.10,1:01.34,5,9.10,1:01.80,4,9.16,1:01.68
2,9.28,1:10.72,5,23.69,,1,9.25,1:10.59,3,9.26,1:11.06,4,9.81,1:11.49
2,9.23,1:19.95,5,15.47,,1,9.17,1:19.76,3,9.33,1:20.39,4,9.51,1:21.00
2,9.42,1:29.37,5,14.34,1:55.01,1,9.45,1:29.21,3,9.49,1:29.88,4,10.35,1:31.35
