SUNG Ching-Yang POSITION,SUNG Ching-Yang LAP TIME,SUNG Ching-Yang ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME
1,8.32,8.32,3,8.77,8.77,2,8.39,8.39,4,8.91,8.91,5,8.98,8.98,6,9.14,9.14
1,12.50,20.83,3,12.31,21.08,2,12.56,20.96,4,12.23,21.15,5,12.26,21.24,6,12.11,21.25
2,11.29,32.12,4,11.37,32.45,3,11.18,32.14,6,11.39,32.54,5,11.27,32.51,1,10.52,31.78
5,11.23,43.35,3,10.80,43.26,2,10.88,43.02,4,10.76,43.31,6,10.86,43.38,1,11.12,42.91
3,10.54,53.90,6,10.85,54.11,1,10.67,53.70,5,10.77,54.08,4,10.55,53.94,2,10.93,53.84
5,10.43,1:04.33,4,10.12,1:04.23,2,10.40,1:04.11,6,10.30,1:04.38,1,10.14,1:04.09,3,10.28,1:04.13
6,10.23,1:14.57,2,9.53,1:13.76,4,9.73,1:13.85,3,9.39,1:13.77,1,9.43,1:13.52,5,9.83,1:13.96
6,10.87,1:25.44,2,10.21,1:23.98,4,10.34,1:24.19,3,10.37,1:24.15,1,10.14,1:23.67,5,10.26,1:24.23
6,11.29,1:36.74,3,10.04,1:34.03,4,9.92,1:34.11,2,9.73,1:33.88,1,10.20,1:33.87,5,9.92,1:34.15
6,11.87,1:48.61,2,9.78,1:43.81,1,9.54,1:43.66,4,10.19,1:44.08,3,10.15,1:44.02,5,10.79,1:44.95
6,11.89,2:00.50,2,9.52,1:53.34,1,9.61,1:53.27,4,9.61,1:53.69,3,9.62,1:53.64,5,9.23,1:54.19
6,13.52,2:14.02,1,9.13,2:02.48,2,9.54,2:02.81,3,9.46,2:03.15,5,18.29,2:11.94,4,10.12,2:04.32
5,13.34,2:27.37,1,9.73,2:12.22,2,9.91,2:12.73,3,9.86,2:13.02,6,27.91,2:39.85,4,10.31,2:14.63
4,13.08,2:40.443,1,10.31,2:22.530,0,,DQ,2,10.78,2:23.792,5,16.45,2:56.300,3,11.50,2:26.122
