GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
2,7.33,7.33,1,7.19,7.19,3,7.45,7.45,4,7.60,7.60
4,9.59,16.92,1,9.38,16.57,2,9.38,16.83,3,9.24,16.84
4,9.07,25.99,2,9.02,25.59,3,8.89,25.72,1,8.71,25.55
4,8.95,34.94,2,9.21,34.80,3,9.17,34.89,1,9.03,34.58
4,9.34,44.291,2,9.24,44.053,3,9.22,44.120,1,9.16,43.740
