DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Kaloyan ANGELOV POSITION,Kaloyan ANGELOV LAP TIME,Kaloyan ANGELOV ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Hazim SHAHRUM POSITION,Hazim SHAHRUM LAP TIME,Hazim SHAHRUM ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
2,9.49,9.49,5,9.67,9.67,4,9.62,9.62,6,9.77,9.77,7,9.95,9.95,1,9.37,9.37,2,9.49,9.49
7,12.30,21.79,2,11.88,21.55,5,12.13,21.75,3,11.89,21.66,6,11.83,21.78,3,12.29,21.66,1,11.93,21.42
7,11.34,33.13,4,11.12,32.67,5,11.13,32.88,1,10.64,32.30,2,10.59,32.37,6,11.35,33.01,3,11.07,32.49
7,10.11,43.24,4,10.27,42.94,5,10.18,43.06,1,10.32,42.62,2,10.36,42.73,6,10.14,43.15,3,10.35,42.84
7,10.38,53.62,4,10.36,53.30,6,10.44,53.50,1,10.36,52.98,2,10.37,53.10,5,10.25,53.40,3,10.35,53.19
6,10.09,1:03.71,3,10.02,1:03.32,7,10.26,1:03.76,1,10.12,1:03.10,4,10.25,1:03.35,5,10.14,1:03.54,2,10.02,1:03.21
6,9.89,1:13.60,3,9.79,1:13.11,7,10.08,1:13.84,1,9.83,1:12.93,4,9.95,1:13.30,5,9.91,1:13.45,2,9.81,1:13.02
5,9.40,1:23.00,3,9.57,1:22.68,7,10.13,1:23.97,1,9.59,1:22.52,6,9.96,1:23.26,4,9.44,1:22.89,2,9.58,1:22.60
5,9.42,1:32.42,3,9.49,1:32.17,7,10.49,1:34.46,2,9.48,1:32.00,6,9.90,1:33.16,4,9.44,1:32.33,1,9.39,1:31.99
5,9.13,1:41.55,3,9.17,1:41.34,7,10.70,1:45.16,2,9.31,1:41.31,6,10.18,1:43.34,4,9.15,1:41.48,1,9.23,1:41.22
2,8.95,1:50.50,3,9.17,1:50.51,7,11.14,1:56.30,5,9.37,1:50.68,6,10.58,1:53.92,4,9.18,1:50.66,1,9.15,1:50.37
1,8.80,1:59.30,3,9.04,1:59.55,7,12.67,2:08.97,5,9.40,2:00.08,6,10.75,2:04.67,4,9.07,1:59.73,2,9.02,1:59.39
1,8.86,2:08.16,3,9.01,2:08.56,7,12.60,2:21.57,5,9.34,2:09.42,6,11.38,2:16.05,4,9.21,2:08.94,2,8.88,2:08.27
1,9.04,2:17.20,3,9.11,2:17.67,7,12.44,2:34.01,5,9.84,2:19.26,6,11.87,2:27.92,4,9.69,2:18.63,2,9.01,2:17.28
