Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME
2,12.47,12.47,6,12.69,12.69,4,12.59,12.59,1,12.46,12.46,5,12.67,12.67,3,12.50,12.50
2,9.18,21.65,6,9.28,21.97,4,9.20,21.79,3,9.24,21.70,5,9.22,21.89,1,9.01,21.51
2,9.16,30.81,6,9.25,31.22,4,9.20,30.99,3,9.22,30.92,5,9.11,31.00,1,9.20,30.71
2,9.18,39.99,6,9.18,40.40,5,9.26,40.25,3,9.17,40.09,4,9.18,40.18,1,9.18,39.89
4,9.34,49.33,6,9.12,49.52,5,9.15,49.40,1,9.01,49.10,3,9.09,49.27,2,9.30,49.19
4,9.20,58.53,6,9.27,58.79,5,9.22,58.62,2,9.23,58.33,3,9.13,58.40,1,9.06,58.25
4,9.08,1:07.61,6,9.17,1:07.96,5,9.07,1:07.69,2,9.06,1:07.39,3,9.08,1:07.48,1,9.03,1:07.28
3,9.07,1:16.68,6,9.43,1:17.39,5,9.16,1:16.85,2,9.18,1:16.57,4,9.29,1:16.77,1,9.05,1:16.33
3,9.29,1:25.97,6,9.82,1:27.199,4,9.33,1:26.18,2,9.23,1:25.80,5,10.14,1:26.881,1,9.25,1:25.58
