OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
2,14.78,14.78,1,14.67,14.67,4,14.95,14.95,3,14.87,14.87
3,12.46,27.24,2,12.44,27.11,4,12.48,27.43,1,12.19,27.06
2,10.55,37.79,3,10.72,37.83,4,10.56,37.99,1,10.66,37.72
2,9.77,47.56,3,9.89,47.72,4,9.77,47.76,1,9.83,47.55
1,9.16,56.72,4,9.24,56.96,2,8.96,56.72,3,9.27,56.82
2,9.00,1:05.72,4,9.01,1:05.97,1,8.79,1:05.51,3,9.06,1:05.88
2,9.06,1:14.78,4,9.01,1:14.98,1,8.86,1:14.37,3,9.01,1:14.89
2,9.32,1:24.10,4,9.28,1:24.26,1,9.13,1:23.50,3,9.34,1:24.23
4,10.20,1:34.295,2,9.60,1:33.854,1,9.41,1:32.903,3,10.07,1:34.293
