Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME
2,13.04,13.04,4,13.40,13.40,1,12.96,12.96,3,13.24,13.24
2,9.90,22.94,3,9.66,23.06,1,9.88,22.84,4,9.84,23.08
3,9.63,32.57,1,9.29,32.35,2,9.62,32.46,4,9.61,32.69
3,9.62,42.19,1,9.64,41.99,2,9.61,42.07,4,9.61,42.30
3,9.79,51.98,1,9.77,51.76,2,9.80,51.87,4,9.79,52.09
3,9.79,1:01.77,1,9.80,1:01.56,2,9.78,1:01.65,4,9.80,1:01.89
3,9.81,1:11.58,1,9.80,1:11.36,2,9.81,1:11.46,4,9.85,1:11.74
3,9.81,1:21.39,1,9.84,1:21.20,2,9.84,1:21.30,4,9.85,1:21.59
0,9.78,1:31.17,0,9.94,1:31.14,3,10.01,1:31.31,4,10.00,1:31.59
