DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME
2,9.15,9.15,4,9.48,9.48,1,9.03,9.03,3,9.29,9.29,6,9.78,9.78,5,9.69,9.69
2,12.43,21.58,5,12.38,21.86,1,12.42,21.45,3,12.37,21.66,6,12.18,21.96,4,12.08,21.77
2,12.49,34.07,5,12.50,34.36,1,12.47,33.92,3,12.51,34.17,6,12.60,34.56,4,12.53,34.30
2,12.94,47.01,5,12.95,47.31,1,12.95,46.87,4,12.95,47.12,6,12.84,47.40,3,12.81,47.11
3,12.56,59.57,5,13.52,1:00.83,1,12.55,59.42,6,22.90,1:10.02,2,12.06,59.46,4,12.58,59.69
4,10.94,1:10.51,5,10.50,1:11.33,1,10.90,1:10.32,6,16.66,1:26.68,2,10.89,1:10.35,3,10.79,1:10.48
4,10.56,1:21.07,5,9.99,1:21.32,1,10.42,1:20.74,6,14.67,1:41.35,2,10.51,1:20.86,3,10.50,1:20.98
4,10.56,1:31.63,5,10.45,1:31.77,1,10.55,1:31.29,6,12.48,1:53.83,2,10.53,1:31.39,3,10.55,1:31.53
4,10.23,1:41.86,5,10.44,1:42.21,2,10.31,1:41.60,6,11.51,2:05.34,1,10.05,1:41.44,3,10.18,1:41.71
4,9.70,1:51.56,5,10.20,1:52.41,2,9.66,1:51.26,6,11.84,2:17.18,1,9.78,1:51.22,3,9.71,1:51.42
4,9.52,2:01.08,5,10.50,2:02.91,2,9.59,2:00.85,6,13.58,2:30.76,1,9.37,2:00.59,3,9.52,2:00.94
4,9.43,2:10.51,5,10.83,2:13.74,2,9.39,2:10.24,6,12.10,2:42.86,1,9.37,2:09.96,3,9.37,2:10.31
4,9.45,2:19.96,5,11.23,2:24.97,2,9.49,2:19.73,6,13.64,2:56.50,1,9.46,2:19.42,3,9.52,2:19.83
4,9.76,2:29.72,5,11.78,2:36.75,0,,PHOTO,6,11.93,3:08.43,1,9.61,2:29.03,0,,PHOTO
