Lorenzo MORRONE POSITION,Lorenzo MORRONE LAP TIME,Lorenzo MORRONE ELAPSED TIME,Hijiri IWASHITA POSITION,Hijiri IWASHITA LAP TIME,Hijiri IWASHITA ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME
1,13.37,13.37,2,13.47,13.47,3,13.48,13.48,5,13.86,13.86,4,13.73,13.73
2,10.61,23.98,3,10.63,24.10,1,10.39,23.87,5,10.50,24.36,4,10.51,24.24
2,10.19,34.17,3,10.21,34.31,1,10.23,34.10,5,10.20,34.56,4,10.20,34.44
2,9.32,43.49,3,9.36,43.67,1,9.31,43.41,5,9.37,43.93,4,9.40,43.84
2,9.15,52.64,3,9.09,52.76,1,9.15,52.56,4,8.93,52.86,5,9.15,52.99
2,9.05,1:01.69,3,8.98,1:01.74,1,9.08,1:01.64,4,8.99,1:01.85,5,8.96,1:01.95
4,9.08,1:10.77,3,8.94,1:10.68,1,8.92,1:10.56,2,8.79,1:10.64,5,8.83,1:10.78
5,9.01,1:19.78,4,8.92,1:19.60,2,8.91,1:19.47,1,8.71,1:19.35,3,8.78,1:19.56
5,8.95,1:28.735,4,8.95,1:28.559,3,8.97,1:28.442,0,8.82,1:28.17,2,8.62,1:28.185
