Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
2,8.35,8.35,4,8.71,8.71,1,8.19,8.19,3,8.50,8.50,5,8.88,8.88,6,9.06,9.06
3,11.78,20.13,2,11.28,19.99,1,11.79,19.98,4,11.65,20.15,5,11.32,20.20,6,11.32,20.38
5,10.35,30.48,2,10.34,30.33,4,10.43,30.41,1,10.05,30.20,3,10.21,30.41,6,10.30,30.68
4,10.15,40.63,2,10.14,40.47,3,10.14,40.55,1,10.16,40.36,5,10.25,40.66,6,10.11,40.79
5,10.02,50.65,2,9.76,50.23,3,9.85,50.40,1,9.84,50.20,4,9.87,50.53,6,10.01,50.80
5,9.37,1:00.02,1,9.47,59.70,2,9.44,59.84,3,9.71,59.91,4,9.47,1:00.00,6,9.37,1:00.17
1,8.86,1:08.88,2,9.30,1:09.00,3,9.26,1:09.10,4,9.27,1:09.18,5,9.28,1:09.28,6,9.29,1:09.46
1,9.14,1:18.02,2,9.09,1:18.09,3,9.09,1:18.19,4,9.11,1:18.29,5,9.12,1:18.40,6,9.07,1:18.53
1,9.16,1:27.18,2,9.18,1:27.27,3,9.17,1:27.36,4,9.18,1:27.47,5,9.18,1:27.58,6,9.20,1:27.73
1,9.22,1:36.40,2,9.21,1:36.48,3,9.20,1:36.56,4,9.21,1:36.68,5,9.17,1:36.75,6,9.12,1:36.85
1,9.25,1:45.65,2,9.28,1:45.76,4,9.44,1:46.00,3,9.17,1:45.85,5,9.30,1:46.05,6,9.33,1:46.18
1,9.28,1:54.93,2,9.25,1:55.01,4,9.20,1:55.20,3,9.26,1:55.11,6,9.77,1:55.82,5,9.59,1:55.77
1,9.40,2:04.33,2,9.36,2:04.37,4,9.23,2:04.43,3,9.28,2:04.39,6,10.09,2:05.91,5,9.41,2:05.18
2,9.61,2:13.935,1,9.48,2:13.848,3,9.63,2:14.054,4,9.67,2:14.055,6,10.55,2:16.452,5,9.73,2:14.906
