GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Max BACKSTROM POSITION,Max BACKSTROM LAP TIME,Max BACKSTROM ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME
1,6.92,6.92,2,7.05,7.05,5,7.58,7.58,3,7.19,7.19,4,7.35,7.35
2,9.03,15.95,1,8.88,15.93,5,9.69,17.27,4,9.16,16.35,3,8.99,16.34
2,8.83,24.78,1,8.58,24.51,5,9.26,26.53,4,8.86,25.21,3,8.55,24.89
3,8.82,33.60,1,8.72,33.23,5,9.54,36.07,4,9.08,34.29,2,8.60,33.49
3,8.90,42.50,1,8.83,42.06,5,9.98,46.05,4,9.36,43.65,2,8.75,42.24
