GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME
1,11.754,11.754,2,11.821,11.821,4,12.451,12.451,3,12.151,12.151
1,9.077,20.830,2,9.187,21.008,4,9.107,21.558,3,9.197,21.348
1,9.047,29.877,2,9.066,30.074,3,8.732,30.290,4,9.815,31.163
1,9.169,39.045,2,9.053,39.126,4,9.360,39.649,3,8.216,39.378
2,9.186,48.231,1,8.987,48.113,4,9.432,49.081,3,9.459,48.836
2,9.262,57.493,1,8.980,57.092,4,8.957,58.037,3,9.175,58.011
2,9.043,1:06.536,1,9.006,1:06.098,4,9.173,1:07.210,3,8.811,1:06.822
2,8.968,1:15.504,1,8.735,1:14.833,4,9.107,1:16.317,3,8.913,1:15.734
2,9.010,1:24.513,1,8.954,1:23.786,3,8.565,1:24.881,4,9.473,1:25.207
2,9.289,1:33.802,1,9.092,1:32.878,4,9.406,1:34.287,3,8.925,1:34.131
2,9.313,1:43.115,1,9.176,1:42.053,4,9.326,1:43.613,3,9.342,1:43.473
2,9.396,1:52.510,1,9.068,1:51.121,4,9.413,1:53.026,3,9.322,1:52.794
2,9.147,2:01.656,1,8.925,2:00.046,4,9.274,2:02.300,3,9.201,2:01.994
2,8.937,2:10.593,1,9.085,2:09.130,4,9.167,2:11.466,3,9.148,2:11.141
2,9.122,2:19.714,1,8.967,2:18.096,4,9.165,2:20.631,3,9.098,2:20.239
2,9.461,2:29.175,1,9.007,2:27.102,4,9.348,2:29.978,3,9.274,2:29.512
3,9.960,2:39.134,1,9.360,2:36.462,4,9.706,2:39.684,2,9.249,2:38.761
3,9.501,2:48.635,1,8.966,2:45.427,4,9.766,2:49.449,2,9.280,2:48.040
3,9.469,2:58.104,1,8.944,2:54.370,4,9.414,2:58.863,2,9.010,2:57.050
3,9.311,3:07.415,1,9.033,3:03.403,4,9.287,3:08.150,2,8.995,3:06.044
3,8.774,3:16.189,1,8.906,3:12.309,4,9.212,3:17.362,2,8.959,3:15.002
3,9.216,3:25.405,1,9.437,3:21.745,4,9.525,3:26.887,2,9.346,3:24.347
3,9.407,3:34.811,1,9.346,3:31.090,4,9.776,3:36.662,2,9.402,3:33.749
3,9.527,3:44.338,1,8.893,3:39.982,4,9.989,3:46.650,2,9.367,3:43.116
3,9.582,3:53.919,1,9.133,3:49.115,4,9.514,3:56.164,2,9.485,3:52.600
3,9.319,4:03.238,1,9.361,3:58.476,4,9.521,4:05.684,2,9.445,4:02.045
3,9.327,4:12.564,1,9.408,4:07.883,4,9.412,4:15.096,2,9.221,4:11.265
3,9.456,4:22.020,1,9.411,4:17.294,4,9.651,4:24.746,2,9.477,4:20.742
3,9.678,4:31.697,1,9.202,4:26.495,4,10.159,4:34.905,2,9.406,4:30.147
3,9.465,4:41.162,1,9.104,4:35.599,4,10.511,4:45.416,2,9.367,4:39.514
3,9.687,4:50.848,1,9.354,4:44.953,4,9.856,4:55.271,2,9.481,4:48.995
3,9.518,5:00.366,1,9.394,4:54.346,4,9.747,5:05.017,2,9.663,4:58.657
3,9.442,5:09.807,1,9.251,5:03.596,4,9.487,5:14.504,2,9.540,5:08.196
3,9.538,5:19.345,1,9.306,5:12.902,4,9.725,5:24.228,2,11.122,5:19.318
3,9.591,5:28.935,1,9.523,5:22.424,4,10.201,5:34.429,2,8.201,5:27.518
3,9.860,5:38.794,1,9.266,5:31.690,4,10.517,5:44.946,2,9.434,5:36.952
3,9.658,5:48.452,1,9.187,5:40.876,4,10.189,5:55.135,2,9.805,5:46.757
3,9.431,5:57.883,1,9.215,5:50.090,4,10.149,6:05.283,2,9.681,5:56.437
3,9.405,6:07.287,1,9.149,5:59.239,4,9.584,6:14.867,2,9.416,6:05.853
3,9.975,6:17.262,1,9.341,6:08.579,4,10.007,6:24.873,2,9.480,6:15.332
3,9.995,6:27.256,1,9.438,6:18.017,4,10.290,6:35.162,2,9.883,6:25.215
3,9.446,6:36.702,1,9.296,6:27.312,4,10.546,6:45.708,2,9.643,6:34.857
3,9.808,6:46.509,1,9.544,6:36.855,4,10.179,6:55.886,2,9.659,6:44.515
3,9.551,6:56.059,1,9.097,6:45.951,4,9.701,7:05.587,2,10.220,6:54.735
3,10.21,7:06.265,1,10.20,6:56.150,4,10.26,7:15.839,2,10.26,7:04.987
