SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
2,13.78,13.78,3,13.88,13.88,4,14.00,14.00,1,13.72,13.72,5,14.08,14.08
2,10.58,24.36,3,10.61,24.49,5,10.74,24.74,1,10.52,24.24,4,10.47,24.55
2,10.60,34.96,4,10.61,35.10,5,10.51,35.25,1,10.61,34.85,3,10.51,35.06
2,10.28,45.24,3,10.23,45.33,5,10.33,45.58,1,10.30,45.15,4,10.39,45.45
2,9.96,55.20,3,9.98,55.31,5,10.15,55.73,1,9.96,55.11,4,9.94,55.39
2,9.67,1:04.87,3,9.69,1:05.00,5,10.18,1:05.91,1,9.73,1:04.84,4,9.72,1:05.11
1,9.21,1:14.08,2,9.30,1:14.30,5,10.47,1:16.38,4,9.67,1:14.51,3,9.27,1:14.38
1,9.40,1:23.48,2,9.50,1:23.80,5,10.86,1:27.24,4,9.84,1:24.35,3,9.47,1:23.85
1,9.58,1:33.06,2,9.65,1:33.45,5,11.24,1:38.48,4,9.95,1:34.30,3,9.93,1:33.78
