Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME,Cyprien VACHERON POSITION,Cyprien VACHERON LAP TIME,Cyprien VACHERON ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Krystian GISZKA POSITION,Krystian GISZKA LAP TIME,Krystian GISZKA ELAPSED TIME,Benjamin THORNOCK POSITION,Benjamin THORNOCK LAP TIME,Benjamin THORNOCK ELAPSED TIME,Gibson Laurent HIMBEAULT POSITION,Gibson Laurent HIMBEAULT LAP TIME,Gibson Laurent HIMBEAULT ELAPSED TIME
2,8.83,8.83,3,8.94,,4,8.95,8.95,1,8.70,8.70,6,9.10,9.10,7,9.19,9.19,5,9.02,9.02
5,11.36,20.19,4,11.22,,6,11.43,20.38,2,11.32,20.02,7,11.41,20.51,3,10.89,20.08,1,10.92,19.94
4,10.95,31.14,3,10.88,,5,10.83,31.21,2,10.95,30.97,7,10.91,31.42,6,11.20,31.28,1,10.94,30.88
6,11.39,42.53,4,11.36,,5,11.29,42.50,1,11.21,42.18,7,11.24,42.66,3,11.07,42.35,2,11.43,42.31
6,10.52,53.05,4,10.49,,2,10.24,52.74,1,10.50,52.68,7,10.52,53.18,5,10.69,53.04,3,10.51,52.82
6,10.31,1:03.36,2,10.09,,3,10.32,1:03.06,1,10.24,1:02.92,7,10.27,1:03.45,4,10.09,1:03.13,5,10.39,1:03.21
6,10.47,1:13.83,2,10.45,,3,10.46,1:13.52,1,10.41,1:13.33,7,10.40,1:13.85,4,10.47,1:13.60,5,10.42,1:13.63
6,10.24,1:24.07,2,10.26,,5,10.43,1:23.95,1,10.25,1:23.58,7,10.32,1:24.17,3,10.19,1:23.79,4,10.24,1:23.87
7,10.44,1:34.51,2,10.00,,5,10.11,1:34.06,1,10.02,1:33.60,6,10.14,1:34.31,4,10.19,1:33.98,3,9.95,1:33.82
7,10.49,1:45.00,2,9.66,,5,9.60,1:43.66,1,9.66,1:43.26,6,9.54,1:43.85,4,9.57,1:43.55,3,9.54,1:43.36
7,11.02,1:56.02,4,9.84,,3,9.47,1:53.13,1,9.39,1:52.65,5,9.43,1:53.28,6,9.81,1:53.36,2,9.47,1:52.83
7,11.52,2:07.54,5,9.99,,3,9.15,2:02.28,1,9.26,2:01.91,4,9.75,2:03.03,6,9.84,2:03.20,2,9.34,2:02.17
7,12.03,2:19.57,6,10.53,,3,9.30,2:11.58,1,9.43,2:11.34,4,9.62,2:12.65,5,9.98,2:13.18,2,9.32,2:11.49
7,12.68,2:32.25,6,10.68,,3,9.67,2:21.229,1,9.69,2:21.015,4,9.98,2:22.611,5,10.26,2:23.421,2,9.73,2:21.195
