CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME
3,13.53,13.53,2,13.40,13.40,4,13.71,13.71,1,13.22,13.22
3,10.74,24.27,2,10.69,24.09,4,10.70,24.41,1,10.67,23.89
3,10.20,34.47,2,10.30,34.39,4,10.13,34.54,1,10.39,34.28
3,10.06,44.53,2,10.13,44.52,4,10.17,44.71,1,10.12,44.40
1,9.49,54.02,2,9.59,54.11,3,9.42,54.13,4,9.91,54.31
1,9.69,1:03.71,2,10.04,1:04.15,4,36.65,1:30.78,3,10.00,1:04.31
1,9.96,1:13.67,2,9.94,1:14.09,4,17.12,1:47.90,3,9.97,1:14.28
1,10.19,1:23.86,2,10.14,1:24.23,4,12.70,2:00.60,3,10.37,1:24.65
1,10.62,1:34.479,2,10.49,1:34.716,0,,PEN,3,11.06,1:35.703
