Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME
2,13.93,13.93,1,13.90,13.90,3,14.21,14.21,4,14.25,14.25
1,11.32,25.26,2,11.43,25.33,4,11.38,25.60,3,11.25,25.51
1,11.45,36.71,2,11.49,36.83,4,11.39,36.99,3,11.46,36.97
1,10.08,46.79,2,10.12,46.96,4,10.54,47.54,3,10.05,47.03
2,10.02,56.82,1,9.85,56.81,4,10.04,57.58,3,9.97,57.00
2,9.79,1:06.62,1,9.80,1:06.62,4,10.17,1:07.76,3,9.73,1:06.74
2,9.72,1:16.34,1,9.72,1:16.34,4,10.44,1:18.21,3,9.82,1:16.57
1,9.81,1:26.16,2,9.83,1:26.17,4,10.91,1:29.12,3,9.77,1:26.34
3,10.27,1:36.421,1,10.12,1:36.282,4,11.32,1:40.440,2,10.02,1:36.353
