SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Soo An YOO POSITION,Soo An YOO LAP TIME,Soo An YOO ELAPSED TIME
2,14.47,14.47,4,14.73,14.73,1,14.41,14.41,3,14.47,14.47
4,10.25,24.72,3,9.84,24.57,1,9.97,24.38,2,9.93,24.40
4,9.37,34.09,3,9.40,33.97,2,9.47,33.85,1,9.37,33.77
4,9.08,43.17,3,9.08,43.05,1,9.03,42.88,2,9.20,42.97
4,9.16,52.33,3,9.17,52.22,1,9.11,51.99,2,9.12,52.09
4,9.05,1:01.38,3,9.08,1:01.30,1,9.08,1:01.07,2,9.09,1:01.18
4,9.18,1:10.56,3,9.24,1:10.54,1,9.22,1:10.29,2,9.22,1:10.40
2,9.10,1:19.66,4,9.21,1:19.75,1,9.33,1:19.62,3,9.31,1:19.71
4,9.71,1:29.370,3,9.62,1:29.365,1,9.37,1:28.982,2,9.65,1:29.356
