Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
1,6.74,6.74,3,7.08,7.08,2,6.93,6.93,4,7.19,7.19,5,7.32,7.32
1,8.76,15.50,3,8.75,15.83,2,8.80,15.73,4,8.74,15.93,5,8.87,16.19
1,8.42,23.92,2,8.28,24.11,4,8.48,24.21,3,8.26,24.19,5,8.39,24.58
1,8.52,32.44,2,8.56,32.67,4,8.67,32.88,3,8.52,32.71,5,8.52,33.10
0,,PHOTO,3,8.86,41.515,4,8.77,41.642,0,,PHOTO,5,8.70,41.825
