Milos APELTAUER POSITION,Milos APELTAUER LAP TIME,Milos APELTAUER ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Danabek KHAIROV POSITION,Danabek KHAIROV LAP TIME,Danabek KHAIROV ELAPSED TIME
3,16.22,16.22,2,16.11,16.11,1,16.06,16.06,4,16.35,16.35
1,11.96,28.18,2,12.10,28.21,3,12.19,28.25,4,12.13,28.48
3,10.70,38.88,1,10.57,38.78,2,10.61,38.86,4,10.55,39.03
3,10.07,48.95,2,10.06,48.84,1,9.78,48.64,4,10.01,49.04
4,9.86,58.81,3,9.82,58.66,1,9.86,58.50,2,9.49,58.53
4,9.41,1:08.22,3,9.39,1:08.05,1,9.30,1:07.80,2,9.48,1:08.01
3,9.24,1:17.46,2,9.17,1:17.22,1,9.18,1:16.98,4,9.49,1:17.50
3,9.12,1:26.58,2,9.17,1:26.39,1,9.30,1:26.28,4,9.96,1:27.46
1,9.09,1:35.669,2,9.55,1:35.935,3,9.71,1:35.985,4,10.66,1:38.113
