Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Nikolay STANCHEV POSITION,Nikolay STANCHEV LAP TIME,Nikolay STANCHEV ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,7.044,7.044,2,7.192,7.192,3,7.236,7.236,4,7.396,7.396
1,9.476,16.520,2,9.433,16.624,4,9.796,17.032,3,9.262,16.658
2,9.325,25.845,3,9.398,26.022,4,9.353,26.384,1,9.133,25.790
2,9.465,35.309,3,9.738,35.759,4,9.548,35.931,1,9.114,34.904
2,9.57,44.873,3,9.50,45.252,4,9.75,45.677,1,9.57,44.469
