Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
3,8.88,8.88,2,8.77,8.77,5,9.24,9.24,4,9.08,9.08,6,9.36,9.36,1,8.61,8.61
5,13.41,22.29,2,13.26,22.03,6,13.18,22.42,3,13.11,22.19,4,12.88,22.24,1,13.28,21.89
5,11.50,33.79,1,11.34,33.37,6,11.52,33.94,4,11.50,33.69,3,11.35,33.59,2,11.59,33.48
5,10.95,44.74,1,10.98,44.35,6,10.95,44.89,3,10.85,44.54,4,11.00,44.59,2,11.00,44.48
4,10.52,55.26,2,10.66,55.01,6,10.63,55.52,3,10.60,55.14,5,10.72,55.31,1,10.40,54.88
5,10.44,1:05.70,2,10.36,1:05.37,6,10.35,1:05.87,4,10.42,1:05.56,3,10.20,1:05.51,1,10.47,1:05.35
3,9.65,1:15.35,1,9.69,1:15.06,6,9.95,1:15.82,4,9.83,1:15.39,5,10.15,1:15.66,2,9.74,1:15.09
3,9.37,1:24.72,1,9.49,1:24.55,6,9.61,1:25.43,5,10.04,1:25.43,4,9.56,1:25.22,2,9.51,1:24.60
3,9.46,1:34.18,1,9.48,1:34.03,5,9.41,1:34.84,6,9.96,1:35.39,4,9.51,1:34.73,2,9.43,1:34.03
3,9.23,1:43.41,2,9.26,1:43.29,5,9.68,1:44.52,6,10.35,1:45.74,4,9.70,1:44.43,1,9.12,1:43.15
3,9.17,1:52.58,2,9.21,1:52.50,5,10.08,1:54.60,6,11.00,1:56.74,4,10.04,1:54.47,1,9.25,1:52.40
3,9.44,2:02.02,2,9.19,2:01.69,5,10.28,2:04.88,6,11.59,2:08.33,4,10.31,2:04.78,1,9.15,2:01.55
3,9.72,2:11.74,2,9.18,2:10.87,4,10.47,2:15.35,6,12.24,2:20.57,5,10.99,2:15.77,1,9.20,2:10.75
3,10.11,2:21.850,2,9.36,2:20.223,4,10.93,2:26.279,6,12.14,2:32.702,5,12.12,2:27.888,1,9.39,2:20.132
