Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Matej FILIP POSITION,Matej FILIP LAP TIME,Matej FILIP ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME
2,13.65,13.65,3,13.79,13.79,1,13.48,13.48,4,13.93,13.93,5,14.26,14.26
2,10.81,24.46,3,10.79,24.58,1,10.85,24.33,4,10.75,24.68,5,10.59,24.85
2,10.51,34.97,3,10.53,35.11,1,10.55,34.88,4,10.51,35.19,5,10.48,35.33
2,10.14,45.11,3,10.15,45.26,1,10.09,44.97,4,10.17,45.36,5,10.22,45.55
2,9.47,54.58,3,9.40,54.66,1,9.46,54.43,4,9.62,54.98,5,9.84,55.39
2,9.00,1:03.58,3,9.06,1:03.72,1,9.07,1:03.50,4,9.92,1:04.90,5,10.00,1:05.39
1,8.82,1:12.40,3,8.96,1:12.68,2,9.09,1:12.59,4,10.24,1:15.14,5,10.18,1:15.57
1,8.92,1:21.32,2,8.96,1:21.64,3,9.27,1:21.86,4,10.55,1:25.69,5,10.42,1:25.99
1,9.10,1:30.416,2,9.20,1:30.832,3,9.59,1:31.442,4,10.60,1:36.289,5,10.89,1:36.872
