Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,LIN Yu-Tzu POSITION,LIN Yu-Tzu LAP TIME,LIN Yu-Tzu ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
1,14.81,14.81,3,14.94,14.94,4,15.05,15.05,5,15.17,15.17,2,14.89,14.89
1,11.40,26.21,3,11.47,26.41,4,11.45,26.50,5,11.45,26.62,2,11.43,26.32
1,11.55,37.76,3,11.55,37.96,4,11.57,38.07,5,11.46,38.08,2,11.54,37.86
1,10.82,48.58,2,10.71,48.67,4,10.74,48.81,5,10.81,48.89,3,10.82,48.68
1,10.19,58.77,3,10.38,59.05,3,10.24,59.05,5,10.40,59.29,2,10.20,58.88
1,9.83,1:08.60,4,9.78,1:08.83,2,9.64,1:08.69,5,9.95,1:09.24,3,9.86,1:08.74
1,9.41,1:18.01,4,9.80,1:18.63,2,9.44,1:18.13,5,10.13,1:19.37,3,9.80,1:18.54
1,9.40,1:27.41,4,9.96,1:28.59,2,9.44,1:27.57,5,10.44,1:29.81,3,10.02,1:28.56
1,9.57,1:36.98,3,9.85,1:38.441,2,9.47,1:37.04,5,10.78,1:40.599,4,10.75,1:39.318
