Jonathan SO POSITION,Jonathan SO LAP TIME,Jonathan SO ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,Metehan ATAN POSITION,Metehan ATAN LAP TIME,Metehan ATAN ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME
2,6.97,6.97,1,6.77,6.77,5,7.26,7.26,4,6.99,6.99,3,6.98,6.98
4,9.20,16.17,1,8.79,15.56,5,9.16,16.42,3,8.93,15.92,2,8.80,15.78
4,8.54,24.71,1,8.26,23.82,5,8.66,25.08,3,8.39,24.31,2,8.20,23.98
4,8.57,33.28,1,8.41,32.23,5,9.00,34.08,3,8.31,32.62,2,8.34,32.32
4,8.87,42.15,1,8.54,40.77,5,9.07,43.15,3,8.62,41.24,2,8.51,40.83
