ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME
1,13.35,13.35,3,13.50,13.50,2,13.45,13.45,4,13.52,13.52
1,10.35,23.70,4,10.52,24.02,3,10.45,23.90,2,10.26,23.78
1,10.13,33.83,4,10.15,34.17,2,10.08,33.98,3,10.32,34.10
1,10.36,44.19,4,10.40,44.57,2,10.33,44.31,3,10.32,44.42
1,10.26,54.45,4,10.22,54.79,2,10.25,54.56,3,10.25,54.67
1,10.36,1:04.81,4,10.35,1:05.14,2,10.36,1:04.92,3,10.36,1:05.03
2,10.27,1:15.08,4,10.21,1:15.35,1,10.05,1:14.97,3,10.19,1:15.22
2,10.11,1:25.19,4,10.11,1:25.46,1,10.16,1:25.13,3,10.16,1:25.38
4,10.63,1:35.818,2,9.80,1:35.257,1,10.04,1:35.166,3,9.98,1:35.357
