Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Yelena SKACHKOVA POSITION,Yelena SKACHKOVA LAP TIME,Yelena SKACHKOVA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
2,15.350,15.350,4,15.700,15.700,1,15.160,15.160,3,15.430,15.430
2,11.530,26.880,4,11.440,27.140,1,11.590,26.750,3,11.450,26.890
2,11.310,38.200,3,11.090,38.230,1,11.160,37.920,4,11.430,38.330
1,11.180,49.380,4,11.590,49.820,2,11.480,49.400,3,11.360,49.690
1,10.670,1:00.050,4,10.580,1:00.400,2,10.810,1:00.220,3,10.670,1:00.360
2,10.850,1:10.910,4,10.850,1:11.250,1,10.680,1:10.910,3,10.700,1:11.070
2,10.780,1:21.690,4,10.780,1:22.040,1,10.740,1:21.650,3,10.670,1:21.740
3,10.880,1:32.580,4,10.700,1:32.750,1,9.890,1:31.540,2,9.890,1:31.640
3,10.930,1:43.510,4,11.090,1:43.850,1,10.060,1:41.610,2,10.370,1:42.010
