Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Kyle UYEHARA POSITION,Kyle UYEHARA LAP TIME,Kyle UYEHARA ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
4,9.61,9.61,1,9.34,9.34,3,9.39,9.39,5,9.64,9.64,2,9.35,9.35,6,9.66,9.66
5,13.12,22.73,2,12.98,22.32,3,13.06,22.45,6,13.20,22.84,1,12.87,22.22,4,12.92,22.58
1,11.17,33.90,3,12.00,34.32,4,12.04,34.49,6,11.93,34.77,2,11.93,34.15,5,12.06,34.64
1,11.25,45.15,3,11.08,45.40,4,11.02,45.51,6,10.91,45.68,2,11.14,45.29,5,10.95,45.59
1,11.87,57.02,3,11.85,57.25,4,11.79,57.30,6,11.83,57.51,2,11.83,57.12,5,11.82,57.41
5,11.81,1:08.83,2,11.35,1:08.60,3,11.47,1:08.77,4,11.31,1:08.82,1,11.38,1:08.50,6,11.49,1:08.90
6,10.47,1:19.30,4,10.21,1:18.81,2,9.85,1:18.62,3,9.87,1:18.69,1,10.05,1:18.55,5,10.04,1:18.94
6,9.80,1:29.10,4,9.86,1:28.67,1,9.68,1:28.30,3,9.84,1:28.53,2,9.86,1:28.41,5,9.87,1:28.81
6,9.61,1:38.71,4,9.56,1:38.23,1,9.56,1:37.86,3,9.57,1:38.10,2,9.53,1:37.94,5,9.56,1:38.37
6,9.91,1:48.62,4,9.44,1:47.67,1,9.46,1:47.32,3,9.43,1:47.53,2,9.46,1:47.40,5,9.38,1:47.75
6,10.56,1:59.18,5,9.87,1:57.54,1,9.55,1:56.87,3,9.57,1:57.10,2,9.54,1:56.94,4,9.46,1:57.21
6,10.74,2:09.92,5,10.33,2:07.87,1,9.26,2:06.13,4,9.32,2:06.42,2,9.28,2:06.22,3,9.08,2:06.29
6,11.14,2:21.06,5,11.37,2:19.24,1,9.65,2:15.78,4,9.67,2:16.09,3,9.77,2:15.99,2,9.62,2:15.91
6,11.08,2:32.131,5,11.41,2:30.648,1,9.66,2:25.440,4,9.64,2:25.731,2,9.48,2:25.470,3,9.62,2:25.522
