Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,6.85,6.85,4,7.27,7.27,2,7.03,7.03,3,7.20,7.20
1,9.24,16.09,4,9.13,16.41,2,9.32,16.35,3,9.20,16.41
3,9.08,25.18,2,8.74,25.15,1,8.70,25.06,4,8.82,25.23
4,9.09,34.27,1,8.55,33.70,2,8.69,33.76,3,8.62,33.85
4,9.47,43.738,1,8.90,42.599,2,8.96,42.718,3,9.21,43.053
