ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
1,13.50,13.50,2,13.57,13.57,3,13.64,13.64,4,13.96,13.96
1,10.33,23.84,4,10.57,24.14,3,10.44,24.08,2,10.09,24.05
1,10.14,33.98,4,10.27,34.42,3,10.15,34.23,2,9.98,34.04
1,10.49,44.47,4,10.41,44.83,3,10.34,44.58,2,10.52,44.56
1,10.36,54.84,4,10.28,55.12,2,10.40,54.98,3,10.47,55.04
1,10.24,1:05.08,4,10.22,1:05.34,3,10.25,1:05.23,2,10.08,1:05.12
1,9.92,1:15.00,4,10.15,1:15.50,3,9.87,1:15.11,2,9.88,1:15.00
2,9.69,1:24.69,4,9.83,1:25.34,3,9.81,1:24.92,1,9.60,1:24.61
2,9.98,1:34.667,4,10.14,1:35.478,3,10.42,1:35.332,1,9.97,1:34.573
