Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,KIM Dam Min POSITION,KIM Dam Min LAP TIME,KIM Dam Min ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
3,10.10,10.10,5,10.21,10.21,6,10.55,10.55,2,9.89,9.89,1,9.82,9.82,4,10.19,10.19
4,13.50,23.60,3,13.18,23.39,6,13.33,23.88,2,13.36,23.25,1,13.33,23.15,5,13.54,23.73
4,12.44,36.04,3,12.55,35.94,6,12.52,36.40,2,12.58,35.83,1,12.56,35.71,5,12.42,36.15
4,12.35,48.39,3,12.35,48.29,6,12.36,48.76,2,12.35,48.18,1,12.37,48.08,5,12.34,48.49
1,11.56,59.95,4,11.90,1:00.19,6,11.78,1:00.54,2,11.81,59.99,3,11.96,1:00.04,5,11.84,1:00.33
2,11.26,1:11.21,3,11.15,1:11.34,6,11.12,1:11.66,1,11.12,1:11.11,4,11.40,1:11.44,5,11.20,1:11.53
2,11.66,1:22.87,3,11.63,1:22.97,6,11.77,1:23.43,1,11.67,1:22.78,4,11.66,1:23.10,5,11.68,1:23.21
3,10.90,1:33.77,2,10.77,1:33.74,5,10.85,1:34.28,1,10.87,1:33.65,6,11.20,1:34.30,4,10.65,1:33.86
3,10.38,1:44.15,2,10.29,1:44.03,5,10.18,1:44.46,1,10.26,1:43.91,6,11.07,1:45.37,4,10.40,1:44.26
3,10.17,1:54.32,2,10.14,1:54.17,5,10.15,1:54.61,1,10.16,1:54.07,6,11.37,1:56.74,4,10.19,1:54.45
2,9.86,2:04.18,3,10.04,2:04.21,4,9.92,2:04.53,1,10.05,2:04.12,6,11.97,2:08.71,5,10.14,2:04.59
5,33.29,2:37.47,2,9.72,2:13.93,1,9.27,2:13.80,6,40.41,2:44.53,4,12.08,2:20.79,3,10.19,2:14.78
5,12.41,2:49.88,2,10.36,2:24.29,1,10.38,2:24.18,6,15.32,2:59.85,4,12.59,2:33.38,3,11.18,2:25.96
0,,PEN,2,10.93,2:35.218,1,10.88,2:35.054,5,12.84,3:12.686,4,12.92,2:46.292,3,12.36,2:38.312
