Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,Lovro ZGOZNIK POSITION,Lovro ZGOZNIK LAP TIME,Lovro ZGOZNIK ELAPSED TIME,Krystian GISZKA POSITION,Krystian GISZKA LAP TIME,Krystian GISZKA ELAPSED TIME,Clement FLORAC POSITION,Clement FLORAC LAP TIME,Clement FLORAC ELAPSED TIME
3,15.45,15.45,1,15.24,15.24,5,15.81,15.81,4,15.59,15.59,2,15.36,15.36
3,12.35,27.80,1,12.31,27.55,5,12.26,28.07,4,12.34,27.93,2,12.34,27.70
3,11.75,39.55,1,11.79,39.34,5,11.73,39.80,4,11.74,39.67,2,11.76,39.46
3,11.36,50.91,1,11.37,50.71,5,11.44,51.24,4,11.35,51.02,2,11.33,50.79
3,10.88,1:01.79,1,10.88,1:01.59,5,10.93,1:02.17,4,10.81,1:01.83,2,10.89,1:01.68
2,9.44,1:11.23,4,9.90,1:11.49,5,10.67,1:12.84,3,9.62,1:11.45,1,9.53,1:11.21
1,9.01,1:20.24,3,9.20,1:20.69,5,10.91,1:23.75,4,9.43,1:20.88,2,9.14,1:20.35
1,8.90,1:29.14,3,9.20,1:29.89,5,11.57,1:35.32,4,9.37,1:30.25,2,8.99,1:29.34
1,8.99,1:38.13,3,9.48,1:39.37,5,11.88,1:47.20,4,9.70,1:39.95,2,9.15,1:38.49
