Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME
3,10.66,10.66,4,10.84,10.84,1,10.34,10.34,5,11.01,11.01,2,10.49,10.49
3,14.53,25.19,4,14.53,25.37,1,14.48,24.82,5,14.49,25.50,2,14.45,24.94
3,13.26,38.45,4,13.22,38.59,1,13.25,38.07,5,13.20,38.70,2,13.30,38.24
3,12.55,51.00,4,12.53,51.12,1,12.63,50.70,5,12.52,51.22,2,12.59,50.83
3,12.07,1:03.07,4,12.10,1:03.22,1,12.08,1:02.78,5,12.12,1:03.34,2,12.07,1:02.90
3,11.55,1:14.62,4,11.53,1:14.75,1,11.63,1:14.41,5,11.51,1:14.85,2,11.58,1:14.48
3,11.11,1:25.73,4,11.10,1:25.85,1,11.09,1:25.50,5,11.11,1:25.96,2,11.13,1:25.61
3,10.78,1:36.51,4,10.77,1:36.62,1,10.79,1:36.29,5,10.79,1:36.75,2,10.78,1:36.39
3,10.44,1:46.95,4,10.43,1:47.05,1,10.41,1:46.70,5,10.45,1:47.20,2,10.44,1:46.83
3,9.77,1:56.72,4,9.80,1:56.85,1,9.79,1:56.49,5,9.84,1:57.04,2,9.79,1:56.62
3,9.70,2:06.42,4,9.72,2:06.57,1,9.66,2:06.15,5,9.72,2:06.76,2,9.71,2:06.33
2,9.34,2:15.76,4,9.68,2:16.25,1,9.48,2:15.63,5,9.82,2:16.58,3,9.90,2:16.23
1,9.35,2:25.11,3,9.80,2:26.05,2,9.63,2:25.26,4,10.13,2:26.71,5,10.49,2:26.72
1,9.47,2:34.58,3,10.49,2:36.54,2,9.44,2:34.70,4,10.32,2:37.03,5,12.16,2:38.88
