GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
6,14.17,14.17,3,13.84,,2,13.72,13.72,4,13.97,13.97,5,13.99,13.99,1,13.61,13.61
6,10.18,24.35,3,10.27,,5,10.48,24.20,1,10.01,23.98,4,10.17,24.16,2,10.39,24.00
6,9.92,34.27,4,9.92,,5,9.97,34.17,2,9.85,33.83,1,9.64,33.80,3,9.96,33.96
6,9.59,43.86,3,9.52,,5,9.63,43.80,2,9.71,43.54,1,9.67,43.47,4,9.60,43.56
3,10.00,53.86,5,23.62,,1,9.86,53.66,4,19.93,1:03.47,6,30.09,1:13.56,2,10.19,53.75
3,9.95,1:03.81,5,14.09,,2,10.06,1:03.72,4,13.34,1:16.81,6,16.92,1:30.48,1,9.94,1:03.69
3,10.36,1:14.17,5,13.86,,2,10.35,1:14.07,4,12.84,1:29.65,6,13.45,1:43.93,1,10.27,1:13.96
2,10.04,1:24.21,5,13.88,,3,10.15,1:24.22,4,12.89,1:42.54,6,14.05,1:57.98,1,10.12,1:24.08
1,9.67,1:33.88,5,15.95,,3,10.11,1:34.310,4,16.75,1:59.235,6,14.12,2:12.10,2,10.20,1:34.28
