CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME
1,12.30,12.30,3,12.52,12.52,2,12.43,12.43,4,12.65,12.65
1,9.12,21.42,3,9.13,21.65,2,9.12,21.55,4,9.08,21.73
1,8.99,30.41,3,9.02,30.67,2,8.96,30.51,4,9.05,30.78
1,9.02,39.43,3,8.96,39.63,2,9.03,39.54,4,8.93,39.71
1,9.07,48.50,3,9.02,48.65,2,9.02,48.56,4,9.15,48.86
1,8.73,57.23,2,8.77,57.42,3,8.96,57.52,4,8.79,57.65
1,8.45,1:05.68,2,8.37,1:05.79,3,8.50,1:06.02,4,8.61,1:06.26
1,8.38,1:14.06,2,8.37,1:14.16,3,8.40,1:14.42,4,8.51,1:14.77
1,8.41,1:22.47,2,8.43,1:22.59,3,8.32,1:22.74,4,8.39,1:23.16
1,8.55,1:31.02,2,8.50,1:31.09,3,8.41,1:31.15,4,8.49,1:31.65
1,8.68,1:39.70,2,8.69,1:39.78,3,8.96,1:40.11,4,8.92,1:40.57
1,8.81,1:48.51,2,8.81,1:48.59,3,8.87,1:48.98,4,8.99,1:49.56
1,9.05,1:57.56,2,9.13,1:57.72,3,8.97,1:57.95,4,8.95,1:58.51
1,9.10,2:06.66,2,9.04,2:06.76,3,8.91,2:06.86,4,9.01,2:07.52
1,8.72,2:15.38,2,8.81,2:15.57,3,8.89,2:15.75,4,8.73,2:16.25
2,8.64,2:24.02,1,8.35,2:23.92,3,8.58,2:24.33,4,8.48,2:24.73
2,8.48,2:32.50,1,8.31,2:32.23,3,8.24,2:32.57,4,8.63,2:33.36
3,8.39,2:40.89,1,8.42,2:40.65,2,8.13,2:40.70,4,8.65,2:42.014
