CHOI Jung-Won POSITION,CHOI Jung-Won LAP TIME,CHOI Jung-Won ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME
2,7.99,7.99,1,7.78,7.78,3,8.15,8.15
2,9.93,17.92,1,10.04,17.82,3,9.88,18.03
2,9.59,27.51,1,9.63,27.45,3,9.65,27.68
1,9.50,37.01,2,9.72,37.17,3,9.74,37.42
1,9.65,46.656,2,9.77,46.939,3,9.81,47.222
