Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,WEI Jiguang POSITION,WEI Jiguang LAP TIME,WEI Jiguang ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME
1,9.740,9.740,2,9.850,9.850,3,9.870,9.870
2,10.080,19.830,3,10.080,19.930,1,9.780,19.660
2,10.290,30.130,3,10.240,30.180,1,10.290,29.960
2,10.290,40.420,3,10.350,40.540,1,10.360,40.320
2,9.970,50.400,3,10.050,50.600,1,10.020,50.340
2,9.960,1:00.360,3,9.770,1:00.370,1,9.820,1:00.160
2,9.520,1:09.880,1,9.260,1:09.630,3,10.030,1:10.200
3,9.450,1:19.340,1,9.440,1:19.080,2,8.890,1:19.100
3,9.730,1:29.070,1,9.720,1:28.800,2,9.780,1:28.880
