Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME
2,13.55,13.55,1,13.33,13.33,4,13.83,13.83,3,13.68,13.68
2,10.58,24.13,1,10.65,23.98,4,10.55,24.38,3,10.56,24.24
2,10.58,34.71,1,10.52,34.50,4,10.53,34.91,3,10.57,34.81
2,10.22,44.93,1,10.26,44.76,4,10.33,45.24,3,10.27,45.08
2,9.89,54.82,1,9.98,54.74,4,9.76,55.00,3,9.78,54.86
2,9.83,1:04.65,1,9.84,1:04.58,4,9.96,1:04.96,3,9.88,1:04.74
2,9.83,1:14.48,1,9.87,1:14.45,4,9.80,1:14.76,3,9.82,1:14.56
1,9.98,1:24.46,4,37.73,1:52.18,2,9.82,1:24.58,3,10.10,1:24.66
0,,DQ,3,15.78,2:07.954,1,9.92,1:34.497,2,10.53,1:35.185
