Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
2,13.96,13.96,3,14.07,14.07,4,27.43,27.43,1,13.87,13.87
2,11.79,25.75,3,11.80,25.87,4,13.10,40.53,1,11.72,25.59
2,11.21,36.96,3,11.23,37.10,4,12.42,52.95,1,11.25,36.84
2,10.82,47.78,3,10.82,47.92,4,12.91,1:05.86,1,10.83,47.67
3,10.50,58.28,2,10.31,58.23,4,13.90,1:19.76,1,10.50,58.17
3,9.61,1:07.89,2,9.56,1:07.79,4,12.38,1:32.14,1,9.52,1:07.69
1,9.53,1:17.42,3,9.72,1:17.51,4,12.93,1:45.07,2,9.74,1:17.43
1,9.30,1:26.72,3,9.74,1:27.25,4,12.14,1:57.21,2,9.70,1:27.13
1,9.85,1:36.567,3,9.57,1:36.819,4,10.98,2:08.186,2,9.69,1:36.815
