SONG Jia Hua POSITION,SONG Jia Hua LAP TIME,SONG Jia Hua ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,ROSS-WADDELL Kyle POSITION,ROSS-WADDELL Kyle LAP TIME,ROSS-WADDELL Kyle ELAPSED TIME,Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,Ilya DZMITRYINKA POSITION,Ilya DZMITRYINKA LAP TIME,Ilya DZMITRYINKA ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME
5,11.11,11.11,2,11.05,11.05,6,11.28,11.28,3,11.07,11.07,1,10.79,10.79,4,11.09,11.09,7,11.35,11.35
5,13.00,24.11,2,12.57,23.62,3,12.49,23.77,4,12.73,23.80,1,12.60,23.39,6,13.14,24.23,7,13.04,24.39
5,10.64,34.75,2,10.78,34.40,3,10.73,34.50,4,10.83,34.63,1,10.83,34.22,6,10.64,34.87,7,10.58,34.97
5,10.31,45.06,2,10.27,44.67,3,10.29,44.79,4,10.28,44.91,1,10.33,44.55,6,10.29,45.16,7,10.32,45.29
6,10.11,55.17,2,10.09,54.76,3,10.06,54.85,5,10.05,54.96,1,10.11,54.66,4,9.79,54.95,7,10.04,55.33
6,10.09,1:05.26,2,10.09,1:04.85,4,10.11,1:04.96,5,10.12,1:05.08,1,10.08,1:04.74,3,9.98,1:04.93,7,10.03,1:05.36
6,9.92,1:15.18,2,10.01,1:14.86,3,9.95,1:14.91,5,9.97,1:15.05,1,10.04,1:14.78,4,9.99,1:14.92,7,9.88,1:15.24
5,9.71,1:24.89,1,9.63,1:24.49,2,9.77,1:24.68,6,9.94,1:24.99,3,9.95,1:24.73,3,9.81,1:24.73,7,9.83,1:25.07
6,9.91,1:34.80,1,9.87,1:34.36,5,10.04,1:34.72,4,9.66,1:34.65,7,10.32,1:35.05,3,9.84,1:34.57,2,9.42,1:34.49
5,9.61,1:44.41,1,9.59,1:43.95,6,9.80,1:44.52,4,9.64,1:44.29,7,10.15,1:45.20,3,9.60,1:44.17,2,9.59,1:44.08
5,9.27,1:53.68,1,9.30,1:53.25,6,9.46,1:53.98,4,9.32,1:53.61,7,10.51,1:55.71,3,9.29,1:53.46,2,9.27,1:53.35
3,8.90,2:02.58,1,9.19,2:02.44,6,9.76,2:03.74,5,9.26,2:02.87,7,10.82,2:06.53,4,9.30,2:02.76,2,9.21,2:02.56
2,9.13,2:11.71,1,9.18,2:11.62,6,10.24,2:13.98,5,9.44,2:12.31,7,11.09,2:17.62,4,9.32,2:12.08,3,9.26,2:11.82
2,9.31,2:21.02,1,9.25,2:20.87,6,10.39,2:24.374,5,9.80,2:22.114,7,11.18,2:28.801,4,9.26,2:21.349,3,9.40,2:21.22
