CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,HAYASHI Ibuki POSITION,HAYASHI Ibuki LAP TIME,HAYASHI Ibuki ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
2,11.51,11.51,5,12.10,12.10,3,11.72,,1,11.35,11.35,4,11.93,11.93,6,12.34,12.34,7,12.87,12.87
3,17.05,28.56,5,16.64,28.74,4,16.93,,1,17.15,28.50,2,16.61,28.54,7,16.66,29.00,6,15.96,28.83
3,13.23,41.79,2,12.91,41.65,1,12.99,,5,13.51,42.01,4,13.26,41.80,7,13.41,42.41,6,13.38,42.21
6,12.16,53.95,1,11.79,53.44,2,11.96,,4,11.84,53.85,3,11.96,53.76,5,11.49,53.90,7,11.85,54.06
6,10.14,1:04.09,2,9.99,1:03.43,3,9.91,,5,10.14,1:03.99,4,9.93,1:03.69,1,9.38,1:03.28,7,10.18,1:04.24
6,9.44,1:13.53,2,9.72,1:13.15,4,9.78,,5,9.39,1:13.38,3,9.59,1:13.28,1,9.75,1:13.03,7,9.42,1:13.66
6,9.75,1:23.28,2,9.74,1:22.89,4,9.75,,5,9.77,1:23.15,3,9.62,1:22.90,1,9.77,1:22.80,7,9.75,1:23.41
6,9.72,1:33.00,3,9.78,1:32.67,4,9.68,,5,9.73,1:32.88,2,9.76,1:32.66,1,9.74,1:32.54,7,9.69,1:33.10
5,9.07,1:42.07,7,9.60,1:42.27,3,9.10,,4,9.10,1:41.98,2,9.09,1:41.75,1,9.12,1:41.66,6,9.06,1:42.16
5,9.12,1:51.19,7,9.14,1:51.41,3,9.26,,4,9.20,1:51.18,2,9.23,1:50.98,1,9.21,1:50.87,6,9.08,1:51.24
5,9.03,2:00.22,7,9.01,2:00.42,6,9.21,,4,8.93,2:00.11,2,8.94,1:59.92,1,8.95,1:59.82,3,8.76,2:00.00
5,8.81,2:09.03,7,9.07,2:09.49,6,8.95,,4,8.81,2:08.92,2,8.82,2:08.74,1,8.81,2:08.63,3,8.77,2:08.77
5,8.76,2:17.79,7,9.02,2:18.51,6,8.70,,4,8.85,2:17.77,2,8.78,2:17.52,1,8.78,2:17.41,3,8.92,2:17.69
4,9.04,2:26.83,6,9.45,2:27.96,5,9.02,,3,8.95,2:26.72,6,15.34,2:32.869,1,8.93,2:26.34,2,8.83,2:26.52
