Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME
2,15.246,15.246,3,15.376,15.376,4,15.554,15.554,1,15.020,15.020
2,11.857,27.103,3,11.806,27.182,4,11.775,27.329,1,11.815,26.834
2,10.924,38.026,3,11.050,38.232,4,11.004,38.332,1,11.091,37.925
2,10.324,48.349,3,10.263,48.495,4,10.315,48.647,1,10.386,48.310
1,9.412,57.761,3,9.596,58.090,4,9.607,58.254,2,9.529,57.839
1,9.536,1:07.297,3,9.402,1:07.492,4,9.342,1:07.596,2,9.527,1:07.365
1,9.027,1:16.323,3,9.254,1:16.746,2,8.939,1:16.534,4,9.533,1:16.898
2,9.367,1:25.690,3,9.259,1:26.004,1,9.156,1:25.690,4,9.817,1:26.714
2,9.65,1:35.333,3,9.40,1:35.404,1,9.41,1:35.100,4,10.93,1:37.640
