Laszlo VRENCEAN POSITION,Laszlo VRENCEAN LAP TIME,Laszlo VRENCEAN ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME
1,8.513,8.513,3,8.750,8.750,5,9.090,9.090,4,8.789,8.789,2,8.546,8.546,6,9.314,9.314
2,12.076,20.588,3,12.140,20.890,5,11.844,20.933,4,12.116,20.904,1,12.020,20.566,6,12.437,21.750
1,12.155,32.742,3,12.120,33.009,4,12.130,33.062,5,12.484,33.388,2,12.256,32.821,6,12.351,34.100
2,12.687,45.429,5,12.632,45.641,4,12.529,45.591,3,12.125,45.512,1,12.508,45.329,6,14.807,48.907
4,11.130,56.559,5,11.092,56.732,6,11.360,56.950,2,10.774,56.286,3,11.116,56.445,1,7.229,56.135
3,10.704,1:07.263,6,11.030,1:07.761,5,10.779,1:07.729,4,11.085,1:07.370,1,10.756,1:07.201,2,11.086,1:07.221
5,10.506,1:17.769,3,9.781,1:17.542,6,10.047,1:17.776,1,10.155,1:17.525,2,10.329,1:17.529,4,10.434,1:17.654
5,10.498,1:28.266,1,10.175,1:27.717,3,10.102,1:27.877,2,10.218,1:27.742,4,10.455,1:27.984,6,11.152,1:28.805
6,10.259,1:38.524,4,10.085,1:37.802,3,9.919,1:37.796,1,9.831,1:37.573,2,9.692,1:37.676,5,9.641,1:38.446
6,10.433,1:48.957,3,9.771,1:47.572,4,9.834,1:47.629,2,9.875,1:47.447,1,9.758,1:47.433,5,9.654,1:48.100
6,10.805,1:59.761,3,9.539,1:57.111,4,10.095,1:57.723,2,9.582,1:57.029,1,9.546,1:56.979,5,9.848,1:57.947
6,11.344,2:11.104,3,9.385,2:06.495,4,10.330,2:08.052,1,9.329,2:06.357,2,9.464,2:06.443,5,10.614,2:08.561
6,11.711,2:22.815,3,9.689,2:16.184,5,10.722,2:18.774,1,9.630,2:15.986,2,9.578,2:16.020,4,10.131,2:18.692
6,12.32,2:35.135,2,9.51,2:25.688,5,11.92,2:30.690,3,9.71,2:25.693,1,9.58,2:25.596,4,11.35,2:30.033
