Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME
2,8.75,8.75,3,8.75,8.75,6,9.07,9.07,5,8.90,8.90,1,8.70,8.70,4,8.76,8.76
5,12.51,21.26,6,12.58,21.33,4,12.16,21.23,3,12.20,21.10,2,12.38,21.08,1,12.30,21.06
6,11.40,32.66,1,10.77,32.10,5,11.29,32.52,4,11.28,32.38,2,11.08,32.16,3,11.23,32.29
6,10.46,43.12,1,10.55,42.65,5,10.50,43.02,4,10.52,42.90,3,10.59,42.75,2,10.40,42.69
6,10.61,53.73,2,10.70,53.35,5,10.59,53.61,4,10.62,53.52,3,10.66,53.41,1,10.61,53.30
6,11.11,1:04.84,4,11.26,1:04.61,5,11.10,1:04.71,1,10.68,1:04.20,3,11.08,1:04.49,2,11.05,1:04.35
6,10.35,1:15.19,2,10.23,1:14.84,5,10.38,1:15.09,1,10.61,1:14.81,3,10.47,1:14.96,4,10.72,1:15.07
6,10.07,1:25.26,1,10.10,1:24.94,4,10.03,1:25.12,2,10.15,1:24.96,3,10.11,1:25.07,5,10.10,1:25.17
6,10.25,1:35.51,2,10.18,1:35.12,4,10.21,1:35.33,1,10.15,1:35.11,3,10.20,1:35.27,5,10.23,1:35.40
4,10.03,1:45.54,1,10.13,1:45.25,5,10.50,1:45.83,2,10.22,1:45.33,3,10.17,1:45.44,6,10.63,1:46.03
3,10.06,1:55.60,1,10.18,1:55.43,5,10.25,1:56.08,2,10.18,1:55.51,4,10.19,1:55.63,6,10.55,1:56.58
2,10.23,2:05.83,1,10.08,2:05.51,4,10.24,2:06.32,6,26.12,2:21.63,3,10.23,2:05.86,5,10.33,2:06.91
2,10.19,2:16.02,1,10.42,2:15.93,4,10.31,2:16.63,6,17.85,2:39.48,3,10.55,2:16.41,5,10.55,2:17.46
0,,PEN,1,10.65,2:26.571,3,10.46,2:27.090,5,11.41,2:50.889,2,10.60,2:27.004,4,11.13,2:28.583
