Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME
5,8.59,8.59,4,8.30,8.30,3,8.14,8.14,2,7.94,7.94,1,7.76,7.76
5,10.83,19.42,4,10.98,19.28,3,10.99,19.13,1,11.04,18.98,2,11.30,19.06
5,10.41,29.83,4,10.35,29.63,2,10.31,29.44,1,10.35,29.33,3,10.45,29.51
5,10.05,39.88,4,10.09,39.72,2,10.10,39.54,1,10.11,39.44,3,10.10,39.61
5,10.01,49.89,4,10.04,49.76,1,9.95,49.49,2,10.09,49.53,3,10.05,49.66
5,10.04,59.93,4,10.09,59.85,1,10.10,59.59,2,10.13,59.66,3,10.13,59.79
5,10.27,1:10.20,4,10.17,1:10.02,1,10.14,1:09.73,2,10.16,1:09.82,3,10.12,1:09.91
4,9.72,1:19.92,2,9.76,1:19.78,3,10.11,1:19.84,1,9.66,1:19.48,5,10.02,1:19.93
4,9.76,1:29.68,2,9.51,1:29.29,3,9.81,1:29.65,1,9.59,1:29.07,5,10.44,1:30.37
3,9.20,1:38.88,2,9.46,1:38.75,4,9.96,1:39.61,1,9.56,1:38.63,5,10.33,1:40.70
3,9.52,1:48.40,1,9.37,1:48.12,4,10.31,1:49.92,2,9.68,1:48.31,5,10.94,1:51.64
3,9.45,1:57.85,1,9.37,1:57.49,4,10.61,2:00.53,2,9.49,1:57.80,5,11.44,2:03.08
1,9.17,2:07.02,2,9.53,2:07.02,4,11.16,2:11.69,3,9.67,2:07.47,5,11.73,2:14.81
1,9.42,2:16.440,2,9.70,2:16.711,3,11.61,2:23.294,0,,PEN,4,12.12,2:26.928
