CHUNG Hsiao-Ying POSITION,CHUNG Hsiao-Ying LAP TIME,CHUNG Hsiao-Ying ELAPSED TIME,Izumi NISHII POSITION,Izumi NISHII LAP TIME,Izumi NISHII ELAPSED TIME,AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME,Josipa TADIC POSITION,Josipa TADIC LAP TIME,Josipa TADIC ELAPSED TIME,Lilia DZHUSTROVA POSITION,Lilia DZHUSTROVA LAP TIME,Lilia DZHUSTROVA ELAPSED TIME
2,14.71,14.71,1,14.63,14.63,4,15.04,15.04,5,15.20,15.20,3,14.89,14.89
2,10.88,25.59,1,10.88,25.51,4,10.84,25.88,5,10.82,26.02,3,10.85,25.74
2,11.16,36.75,1,11.15,36.66,4,11.24,37.12,5,11.21,37.23,3,11.17,36.91
2,10.68,47.43,1,10.66,47.32,4,10.64,47.76,5,10.84,48.07,3,10.72,47.63
3,10.29,57.72,1,10.27,57.59,2,9.90,57.66,5,10.77,58.84,4,10.45,58.08
3,10.39,1:08.11,2,10.28,1:07.87,1,9.78,1:07.44,5,11.25,1:10.09,4,10.50,1:08.58
3,10.19,1:18.30,2,10.32,1:18.19,1,9.96,1:17.40,5,11.69,1:21.78,4,10.48,1:19.06
3,10.34,1:28.64,2,10.28,1:28.47,1,9.86,1:27.26,5,12.28,1:34.06,4,10.62,1:29.68
3,10.65,1:39.281,2,10.66,1:39.130,1,10.31,1:37.568,5,12.88,1:46.934,4,11.04,1:40.719
