Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,SUN Linlin POSITION,SUN Linlin LAP TIME,SUN Linlin ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME
1,8.99,8.99,2,9.07,9.07,3,9.19,9.19,6,9.75,9.75,4,9.40,9.40,5,9.54,9.54
1,13.52,22.51,2,13.57,22.64,3,13.59,22.78,5,13.21,22.96,6,13.69,23.09,4,13.41,22.95
1,12.70,35.21,2,12.68,35.32,3,12.68,35.46,6,12.87,35.83,5,12.61,35.70,4,12.62,35.57
1,12.59,47.80,2,12.57,47.89,3,12.51,47.97,6,12.53,48.36,5,12.45,48.15,4,12.51,48.08
3,13.03,1:00.83,2,12.89,1:00.78,4,12.91,1:00.88,6,13.00,1:01.36,1,12.57,1:00.72,5,13.05,1:01.13
4,11.54,1:12.37,3,11.43,1:12.21,1,11.20,1:12.08,5,11.06,1:12.42,2,11.37,1:12.09,6,11.46,1:12.59
2,10.97,1:23.34,4,11.17,1:23.38,1,11.24,1:23.32,6,11.53,1:23.95,3,11.25,1:23.34,5,11.13,1:23.72
1,10.49,1:33.83,3,10.53,1:33.91,2,10.58,1:33.90,6,10.41,1:34.36,4,10.73,1:34.07,5,10.45,1:34.17
2,10.39,1:44.22,1,10.21,1:44.12,3,10.40,1:44.30,6,10.28,1:44.64,4,10.33,1:44.40,5,10.37,1:44.54
2,10.48,1:54.70,1,10.46,1:54.58,3,10.49,1:54.79,6,10.50,1:55.14,4,10.49,1:54.89,5,10.47,1:55.01
2,10.34,2:05.04,1,10.38,2:04.96,3,10.34,2:05.13,6,10.25,2:05.39,4,10.32,2:05.21,5,10.29,2:05.30
1,10.18,2:15.22,2,10.29,2:15.25,3,10.18,2:15.31,4,10.02,2:15.41,5,10.26,2:15.47,6,10.33,2:15.63
1,10.12,2:25.34,5,10.32,2:25.57,2,10.10,2:25.41,3,10.01,2:25.42,4,10.07,2:25.54,6,18.53,2:34.16
0,,DQ,5,37.49,3:03.056,3,10.59,2:35.999,1,9.93,2:35.346,2,9.93,2:35.469,4,13.30,2:47.456
