Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME
3,13.55,13.55,4,13.67,13.67,1,13.44,13.44,2,13.55,13.55
3,10.18,23.73,4,10.17,23.84,2,10.28,23.72,1,9.60,23.15
3,9.97,33.70,4,10.00,33.84,2,9.68,33.40,1,10.12,33.27
3,10.07,43.77,4,10.04,43.88,2,10.25,43.65,1,10.25,43.52
3,10.18,53.95,4,10.20,54.08,2,10.12,53.77,1,10.15,53.67
3,10.02,1:03.97,4,10.00,1:04.08,2,10.00,1:03.77,1,9.99,1:03.66
3,9.99,1:13.96,4,10.06,1:14.14,2,9.84,1:13.61,1,9.83,1:13.49
4,10.38,1:24.34,3,10.18,1:24.32,2,9.78,1:23.39,1,9.78,1:23.27
0,,PEN,3,10.29,1:34.606,2,9.96,1:33.348,1,9.84,1:33.110
