Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Marina TRETIAKOVA POSITION,Marina TRETIAKOVA LAP TIME,Marina TRETIAKOVA ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Anja KOLAR POSITION,Anja KOLAR LAP TIME,Anja KOLAR ELAPSED TIME
3,9.239,9.239,5,9.479,9.479,2,9.189,9.189,4,9.401,9.401,1,9.123,9.123,6,9.621,9.621
2,12.840,22.078,5,12.914,22.392,1,12.617,21.806,4,12.867,22.267,3,12.995,22.118,6,12.898,22.519
3,12.165,34.243,2,11.808,34.200,1,12.280,34.086,4,12.028,34.294,5,12.244,34.362,6,12.045,34.564
3,12.286,46.528,2,12.223,46.423,1,12.293,46.378,5,12.371,46.665,4,12.293,46.655,6,12.184,46.747
3,13.065,59.593,1,12.928,59.351,2,13.124,59.502,5,13.064,59.728,4,12.979,59.633,6,13.233,59.980
1,11.565,1:11.157,5,12.084,1:11.434,3,11.866,1:11.368,2,11.471,1:11.199,4,11.767,1:11.400,6,11.702,1:11.681
3,11.293,1:22.450,5,11.196,1:22.630,4,11.257,1:22.624,1,11.059,1:22.258,2,10.888,1:22.287,6,11.112,1:22.792
1,10.843,1:33.292,4,11.003,1:33.633,5,11.152,1:33.776,3,11.361,1:33.618,2,11.286,1:33.572,6,11.232,1:34.023
1,11.105,1:44.397,3,11.043,1:44.676,4,10.923,1:44.699,5,11.280,1:44.898,2,10.979,1:44.551,6,11.082,1:45.105
1,10.943,1:55.339,4,11.014,1:55.689,3,10.981,1:55.679,5,10.823,1:55.721,2,10.992,1:55.543,6,11.127,1:56.232
1,10.815,2:06.153,4,10.939,2:06.627,3,10.930,2:06.609,5,11.013,2:06.733,2,10.957,2:06.499,6,11.045,2:07.276
1,10.487,2:16.640,2,10.154,2:16.781,3,10.424,2:17.032,5,10.524,2:17.256,4,10.688,2:17.186,6,11.411,2:18.687
2,10.643,2:27.282,1,10.269,2:27.049,3,10.337,2:27.369,4,10.623,2:27.879,5,10.817,2:28.003,6,11.900,2:30.586
2,10.62,2:37.896,1,10.60,2:37.649,3,10.63,2:37.990,4,10.84,2:38.713,5,11.65,2:39.648,6,12.13,2:42.710
