Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,Thibault METRAUX POSITION,Thibault METRAUX LAP TIME,Thibault METRAUX ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME
3,12.78,12.78,1,12.43,,2,12.60,12.60,6,12.92,12.92,5,12.91,12.91,4,12.82,
6,16.76,29.54,1,16.69,,2,16.69,29.29,5,16.56,29.48,4,16.53,29.44,3,16.57,
6,14.87,44.41,2,14.89,,3,14.87,44.16,5,14.92,44.40,1,14.38,43.82,4,14.88,
4,13.43,57.84,2,13.57,,3,13.57,57.73,6,13.71,58.11,1,13.59,57.41,5,13.71,
4,12.83,1:10.67,2,12.82,,3,12.79,1:10.52,6,12.77,1:10.88,1,12.82,1:10.23,5,12.79,
5,12.27,1:22.94,3,12.33,,4,12.29,1:22.81,6,12.09,1:22.97,1,12.21,1:22.44,2,11.78,
6,11.03,1:33.97,1,10.75,,4,10.97,1:33.78,5,10.91,1:33.88,2,11.11,1:33.55,3,11.10,
6,10.43,1:44.40,1,10.49,,5,10.57,1:44.35,4,10.35,1:44.23,2,10.44,1:43.99,3,10.51,
5,9.69,1:54.09,2,9.90,,4,9.69,1:54.04,6,9.91,1:54.14,1,9.79,1:53.78,3,9.81,
4,9.49,2:03.58,5,9.91,,2,9.49,2:03.53,6,9.76,2:03.90,1,9.55,2:03.33,3,9.59,
5,33.84,2:37.42,3,9.18,,2,9.20,2:12.73,4,9.38,2:13.28,1,9.30,2:12.63,6,51.18,
5,16.37,2:53.79,3,8.95,,2,9.05,2:21.78,4,9.60,2:22.88,1,8.98,2:21.61,6,16.43,
5,11.50,3:05.29,4,43.10,,2,9.04,2:30.82,3,9.79,2:32.67,1,8.92,2:30.53,6,11.38,
4,11.25,3:16.54,5,17.06,,2,9.34,2:40.16,3,10.11,2:42.78,1,9.05,2:39.58,6,13.08,3:35.63
