LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
5,15.65,15.65,3,15.44,15.44,1,15.17,15.17,2,15.29,15.29,4,15.64,15.64
5,10.91,26.56,4,10.96,26.40,3,11.09,26.26,2,10.83,26.12,1,10.34,25.98
4,9.97,36.53,5,10.18,36.58,3,10.21,36.47,2,10.27,36.39,1,10.32,36.30
1,9.29,45.82,5,9.71,46.29,4,9.67,46.14,3,9.61,46.00,2,9.63,45.93
2,9.35,55.17,5,9.20,55.49,4,9.15,55.29,1,9.13,55.13,3,9.34,55.27
2,9.08,1:04.25,5,9.13,1:04.62,3,9.07,1:04.36,1,9.04,1:04.17,4,9.22,1:04.49
2,9.03,1:13.28,5,9.27,1:13.89,3,9.34,1:13.70,1,9.02,1:13.19,4,9.22,1:13.71
2,8.96,1:22.24,4,9.60,1:23.49,5,11.25,1:24.95,1,8.98,1:22.17,3,9.25,1:22.96
2,9.43,1:31.667,4,10.17,1:33.656,5,14.03,1:38.973,1,9.18,1:31.349,3,9.42,1:32.380
