Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,12.21,12.21,3,12.51,12.51,4,12.66,12.66,2,12.31,12.31
1,9.29,21.50,3,9.22,21.73,4,9.19,21.85,2,9.28,21.59
1,9.29,30.79,3,9.27,31.00,4,9.25,31.10,2,9.29,30.88
1,9.51,40.30,3,9.53,40.53,4,9.51,40.61,2,9.50,40.38
1,9.52,49.82,3,9.47,50.00,4,9.50,50.11,2,9.53,49.91
2,9.57,59.39,3,9.57,59.57,4,9.51,59.62,1,9.42,59.33
2,9.49,1:08.88,4,9.71,1:09.28,3,9.41,1:09.03,1,9.41,1:08.74
2,9.37,1:18.25,4,9.93,1:19.21,3,9.32,1:18.35,1,9.41,1:18.15
2,9.48,1:27.726,4,10.61,1:29.817,3,9.60,1:27.950,1,9.47,1:27.613
