Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
1,12.97,12.97,2,13.06,13.06,3,13.39,13.39
1,10.19,23.16,2,10.20,23.26,3,9.98,23.37
1,10.21,33.37,2,10.21,33.47,3,10.22,33.59
1,10.21,43.58,2,10.20,43.67,3,10.20,43.79
1,10.26,53.84,2,10.27,53.94,3,10.29,54.08
1,10.19,1:04.03,2,10.18,1:04.12,3,10.18,1:04.26
2,10.21,1:14.24,1,10.07,1:14.19,3,10.29,1:14.55
2,10.19,1:24.43,1,10.09,1:24.28,3,10.63,1:25.18
2,10.57,1:34.994,1,10.40,1:34.673,3,12.17,1:37.342
