LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Petar PETROV POSITION,Petar PETROV LAP TIME,Petar PETROV ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
4,9.14,9.14,1,8.85,8.85,6,9.42,9.42,2,8.87,8.87,5,9.40,9.40,3,9.01,9.01
4,12.00,21.14,2,12.10,20.95,6,11.98,21.40,3,12.15,21.02,5,11.95,21.36,1,11.81,20.83
4,11.71,32.85,2,11.71,32.67,6,11.73,33.13,3,11.70,32.72,5,11.54,32.90,1,11.64,32.47
4,11.88,44.74,2,11.91,44.58,6,11.92,45.06,3,11.90,44.63,5,11.90,44.81,1,12.00,44.48
4,11.55,56.29,1,11.43,56.02,6,11.62,56.68,3,11.61,56.24,5,11.67,56.49,2,11.74,56.22
1,10.11,1:06.41,2,10.48,1:06.50,6,10.34,1:07.03,4,10.46,1:06.70,3,10.10,1:06.59,5,10.73,1:06.95
1,9.70,1:16.11,4,9.85,1:16.35,3,9.31,1:16.34,5,9.72,1:16.43,2,9.66,1:16.26,6,9.63,1:16.59
2,10.08,1:26.20,3,9.92,1:26.28,6,10.38,1:26.72,4,10.05,1:26.48,1,9.94,1:26.20,5,9.97,1:26.57
3,9.94,1:36.14,5,10.05,1:36.34,6,9.98,1:36.71,2,9.61,1:36.10,4,10.12,1:36.32,1,9.51,1:36.08
2,9.41,1:45.55,3,9.24,1:45.58,6,9.43,1:46.15,1,9.43,1:45.54,4,9.42,1:45.74,5,9.68,1:45.77
2,9.52,1:55.08,3,9.53,1:55.12,6,9.64,1:55.79,1,9.53,1:55.08,4,9.49,1:55.24,5,9.85,1:55.62
1,9.23,2:04.32,4,9.47,2:04.60,6,10.37,2:06.17,3,9.45,2:04.53,2,9.22,2:04.46,5,9.46,2:05.09
2,9.27,2:13.59,4,9.76,2:14.36,6,11.45,2:17.62,3,9.54,2:14.08,1,8.95,2:13.41,5,10.19,2:15.29
2,9.75,2:23.337,4,10.40,2:24.755,6,12.18,2:29.799,3,10.03,2:24.106,1,9.41,2:22.812,5,10.96,2:26.243
