KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
2,12.54,12.54,3,12.62,12.62,1,12.41,12.41,4,12.74,12.74
2,10.25,22.79,3,10.29,22.91,1,10.24,22.65,4,10.25,22.99
2,10.18,32.97,3,10.08,32.99,1,10.21,32.86,4,10.18,33.17
3,9.44,42.41,1,9.30,42.29,2,9.46,42.32,4,9.42,42.59
2,9.23,51.64,1,9.34,51.63,3,9.40,51.72,4,9.27,51.86
1,9.01,1:00.65,2,9.35,1:00.98,3,9.35,1:01.07,4,9.30,1:01.16
1,9.29,1:09.94,2,9.55,1:10.53,4,9.57,1:10.64,3,9.44,1:10.60
1,9.43,1:19.37,2,9.63,1:20.16,4,9.70,1:20.34,3,9.69,1:20.29
1,10.29,1:29.654,2,9.72,1:29.880,3,9.56,1:29.898,4,10.05,1:30.334
