Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,Roza KOOYSTRA POSITION,Roza KOOYSTRA LAP TIME,Roza KOOYSTRA ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME
2,11.04,11.04,6,11.85,11.85,1,10.89,10.89,4,11.44,11.44,3,11.27,11.27,5,11.63,11.63,7,11.94,11.94
2,15.61,26.65,7,15.46,27.31,1,15.64,26.53,4,15.51,26.95,3,15.57,26.84,6,15.50,27.13,5,15.16,27.10
3,14.11,40.76,1,12.93,40.24,2,14.08,40.61,6,14.06,41.01,4,14.08,40.92,7,14.08,41.21,5,13.87,40.97
2,11.80,52.56,5,12.66,52.90,6,12.45,53.06,3,11.64,52.65,3,11.73,52.65,7,11.99,53.20,1,11.54,52.51
2,12.02,1:04.58,5,12.03,1:04.93,6,12.04,1:05.10,4,12.14,1:04.79,3,12.04,1:04.69,7,12.05,1:05.25,1,12.01,1:04.52
2,12.61,1:17.19,7,12.68,1:17.61,4,12.29,1:17.39,5,12.67,1:17.46,3,12.60,1:17.29,6,12.25,1:17.50,1,12.62,1:17.14
4,10.70,1:27.89,7,10.73,1:28.34,2,10.20,1:27.59,6,10.71,1:28.17,5,10.70,1:27.99,1,10.02,1:27.52,3,10.64,1:27.78
4,9.78,1:37.67,7,9.72,1:38.06,2,9.90,1:37.49,6,9.73,1:37.90,5,9.77,1:37.76,1,9.85,1:37.37,3,9.81,1:37.59
5,10.20,1:47.87,7,10.09,1:48.15,2,10.03,1:47.52,6,10.13,1:48.03,4,10.00,1:47.76,1,10.05,1:47.42,3,10.02,1:47.61
5,9.80,1:57.67,7,9.88,1:58.03,1,9.52,1:57.04,6,9.92,1:57.95,4,9.66,1:57.42,2,9.76,1:57.18,3,9.60,1:57.21
5,9.96,2:07.63,7,9.96,2:07.99,1,9.30,2:06.34,6,10.01,2:07.96,4,9.56,2:06.98,2,9.26,2:06.44,3,9.31,2:06.52
5,10.43,2:18.06,7,10.59,2:18.58,1,9.38,2:15.72,6,10.20,2:18.16,4,9.86,2:16.84,2,9.42,2:15.86,3,9.43,2:15.95
6,10.85,2:28.91,7,10.63,2:29.21,1,9.43,2:25.15,5,10.48,2:28.64,4,10.33,2:27.17,2,9.47,2:25.33,3,9.46,2:25.41
7,11.16,2:40.041,6,10.77,2:39.960,1,9.67,2:34.808,5,10.60,2:39.216,4,10.90,2:38.042,2,9.62,2:34.928,3,9.62,2:35.012
