WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME
1,8.57,8.57,2,8.70,8.70,4,9.03,9.03,5,9.15,9.15,3,8.81,8.81,6,9.27,9.27
1,12.12,20.69,2,12.13,20.83,4,12.05,21.08,5,12.02,21.17,3,12.10,20.91,6,11.99,21.26
1,11.57,32.26,2,11.54,32.37,4,11.51,32.59,5,11.52,32.69,3,11.53,32.44,6,11.53,32.79
2,10.99,43.25,1,10.74,43.11,4,10.91,43.50,5,10.90,43.59,3,10.90,43.34,6,10.92,43.71
2,10.65,53.90,1,10.64,53.75,4,10.64,54.14,5,10.64,54.23,3,10.65,53.99,6,10.61,54.32
2,10.57,1:04.47,1,10.59,1:04.34,4,10.58,1:04.72,5,10.60,1:04.83,3,10.57,1:04.56,6,10.61,1:04.93
1,10.15,1:14.62,2,10.38,1:14.72,4,10.23,1:14.95,5,10.21,1:15.04,3,10.24,1:14.80,6,10.23,1:15.16
1,10.05,1:24.67,2,9.96,1:24.68,4,10.04,1:24.99,5,10.11,1:25.15,3,10.02,1:24.82,6,10.10,1:25.26
1,9.36,1:34.03,2,9.49,1:34.17,4,9.35,1:34.34,5,9.34,1:34.49,2,9.35,1:34.17,6,9.47,1:34.73
1,9.20,1:43.23,4,9.27,1:43.44,3,9.05,1:43.39,5,9.09,1:43.58,2,9.14,1:43.31,6,9.49,1:44.22
2,9.04,1:52.27,4,9.19,1:52.63,1,8.79,1:52.18,5,9.14,1:52.72,3,9.07,1:52.38,6,9.75,1:53.97
2,8.76,2:01.03,4,9.12,2:01.75,1,8.71,2:00.89,5,9.11,2:01.83,3,8.84,2:01.22,6,10.33,2:04.30
2,8.87,2:09.90,4,9.30,2:11.05,1,8.93,2:09.82,5,9.34,2:11.17,3,9.14,2:10.36,6,10.93,2:15.23
2,9.18,2:19.08,4,9.55,2:20.60,1,9.22,2:19.04,5,9.56,2:20.73,3,9.40,2:19.76,6,11.62,2:26.85
