Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME
5,9.73,9.73,4,9.64,9.64,1,9.34,9.34,2,9.39,9.39,3,9.55,9.55,7,10.09,10.09,6,9.98,9.98
6,14.48,24.21,1,14.00,23.64,2,14.45,23.79,3,14.53,23.92,5,14.51,24.06,7,14.41,24.50,4,14.05,24.03
6,12.23,36.44,3,12.33,35.97,4,12.26,36.05,1,11.75,35.67,5,12.15,36.21,7,12.17,36.67,2,11.79,35.82
6,11.86,48.30,3,11.85,47.82,4,11.92,47.97,1,11.90,47.57,5,11.95,48.16,7,11.77,48.44,2,11.87,47.69
6,11.69,59.99,3,11.80,59.62,5,11.75,59.72,1,11.82,59.39,4,11.48,59.64,7,11.70,1:00.14,2,11.83,59.52
6,11.02,1:11.01,5,11.17,1:10.79,4,10.95,1:10.67,2,11.02,1:10.41,1,10.67,1:10.31,7,11.01,1:11.15,3,11.04,1:10.56
6,10.33,1:21.34,5,10.39,1:21.18,4,10.39,1:21.06,3,10.52,1:20.93,2,10.52,1:20.83,7,10.37,1:21.52,1,10.20,1:20.76
6,10.06,1:31.40,5,10.09,1:31.27,4,10.11,1:31.17,3,10.14,1:31.07,2,10.17,1:31.00,7,9.98,1:31.50,1,10.16,1:30.92
6,9.79,1:41.19,2,9.51,1:40.78,5,9.86,1:41.03,4,9.84,1:40.91,3,9.81,1:40.81,7,9.85,1:41.35,1,9.80,1:40.72
6,9.03,1:50.22,1,8.90,1:49.68,5,9.03,1:50.06,4,9.00,1:49.91,3,9.03,1:49.84,7,9.09,1:50.44,2,9.11,1:49.83
3,9.04,1:59.26,1,9.39,1:59.07,4,9.21,1:59.27,7,9.47,1:59.38,5,9.52,1:59.36,6,8.94,1:59.38,2,9.35,1:59.18
2,8.92,2:08.18,1,9.03,2:08.10,5,9.15,2:08.42,6,9.09,2:08.47,7,9.68,2:09.04,3,8.91,2:08.29,4,9.13,2:08.31
1,,2:16.99,2,8.99,2:17.09,7,31.99,2:40.41,5,9.14,2:17.61,6,9.17,2:18.21,3,8.86,2:17.15,4,9.25,2:17.56
1,9.11,2:26.098,3,9.12,2:26.208,6,24.38,3:04.785,0,,DQ,5,9.38,2:27.589,2,9.01,2:26.156,4,9.32,2:26.874
