MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,Erika LINDGREN POSITION,Erika LINDGREN LAP TIME,Erika LINDGREN ELAPSED TIME
1,7.36,7.36,3,7.57,7.57,2,7.38,7.38,5,8.04,8.04,4,7.77,7.77
2,9.59,16.95,3,9.44,17.01,1,9.27,16.65,5,9.69,17.73,4,9.56,17.33
3,9.12,26.07,2,8.86,25.87,1,8.88,25.53,5,9.32,27.05,4,9.06,26.39
3,9.18,35.25,2,9.04,34.91,1,8.92,34.45,5,9.49,36.54,4,9.19,35.58
3,9.39,44.64,2,9.36,44.27,1,9.04,43.49,5,9.85,46.39,4,9.30,44.88
