Maarten SLEMBROUCK POSITION,Maarten SLEMBROUCK LAP TIME,Maarten SLEMBROUCK ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME
1,13.42,13.42,3,13.77,13.77,4,13.93,13.93,2,13.55,13.55
1,11.05,24.47,3,11.00,24.77,4,10.99,24.92,2,11.04,24.59
1,10.72,35.19,3,10.75,35.52,4,10.73,35.65,2,10.71,35.30
1,10.39,45.58,3,10.22,45.74,4,10.20,45.85,2,10.40,45.70
2,9.74,55.32,1,9.46,55.20,3,9.51,55.36,4,9.69,55.39
4,9.86,1:05.18,1,9.54,1:04.74,2,9.47,1:04.83,3,9.57,1:04.96
4,10.09,1:15.27,1,9.71,1:14.45,2,9.71,1:14.54,3,9.70,1:14.66
4,10.55,1:25.82,1,9.66,1:24.11,2,9.66,1:24.20,3,9.65,1:24.31
4,10.93,1:36.749,1,9.63,1:33.735,2,9.66,1:33.858,3,9.60,1:33.905
